,year,round,from_country,to_country,total_points,tele_points,jury_points,from_capital,to_capital,distance
295,1959,final,se,de,0,,,Stockholm,Berlin,810.1104952838541
296,1959,final,se,se,0,,,Stockholm,Stockholm,0.0
297,1959,final,se,at,2,,,Stockholm,Vienna,1242.9880588648116
298,1959,final,se,mc,0,,,Stockholm,Monaco,1878.000259528193
299,1959,final,ch,nl,0,,,Bern,Amsterdam,631.984668097504
300,1959,final,ch,gb,3,,,Bern,London,751.7597793553151
301,1959,final,ch,fr,1,,,Bern,Paris,439.4187580348944
302,1959,final,ch,ch,0,,,Bern,Bern,0.0
303,1959,final,ch,dk,1,,,Bern,København,1036.7440357106227
304,1959,final,ch,it,3,,,Bern,Rome,685.0903920981563
305,1959,final,ch,be,0,,,Bern,Brussels,492.811168264156
306,1959,final,ch,de,1,,,Bern,Berlin,755.5725545140924
307,1959,final,ch,se,0,,,Bern,Stockholm,1546.9970467246567
308,1959,final,ch,at,1,,,Bern,Vienna,684.6758502979812
309,1959,final,ch,mc,0,,,Bern,Monaco,352.5791451382054
310,1959,final,gb,nl,1,,,London,Amsterdam,358.5662240358652
311,1959,final,gb,gb,0,,,London,London,0.0
312,1959,final,gb,fr,0,,,London,Paris,343.34816760322576
313,1959,final,gb,ch,5,,,London,Bern,751.7597793553151
314,1959,final,gb,dk,2,,,London,København,957.8249123802724
315,1959,final,gb,it,0,,,London,Rome,1434.3928220297348
316,1959,final,gb,be,2,,,London,Brussels,319.69309808111706
317,1959,final,gb,de,0,,,London,Berlin,933.3328468181853
318,1959,final,gb,se,0,,,London,Stockholm,1436.008938392172
319,1959,final,gb,at,0,,,London,Vienna,1237.492543618928
320,1959,final,gb,mc,0,,,London,Monaco,1031.496168068737
321,1960,final,at,fr,1,,,Vienna,Paris,1036.0407521679517
322,1960,final,at,gb,3,,,Vienna,London,1237.492543618928
323,1960,final,at,mc,0,,,Vienna,Monaco,852.8720405161995
324,1960,final,at,no,1,,,Vienna,Oslo,1353.4892116097317
325,1960,final,at,de,2,,,Vienna,Berlin,524.8127243398101
326,1960,final,at,be,1,,,Vienna,Brussels,917.8641762519657
327,1960,final,at,at,0,,,Vienna,Vienna,0.0
328,1960,final,at,ch,2,,,Vienna,Bern,684.6758502979812
329,1960,final,at,it,0,,,Vienna,Rome,764.1043383207954
330,1960,final,at,se,0,,,Vienna,Stockholm,1242.9880588648116
331,1960,final,at,dk,0,,,Vienna,København,871.9691649208438
332,1960,final,at,nl,0,,,Vienna,Amsterdam,935.9264958181074
333,1960,final,at,lu,0,,,Vienna,Luxembourg,765.8565588126423
334,1960,final,be,fr,3,,,Brussels,Paris,261.801328672752
335,1960,final,be,gb,1,,,Brussels,London,319.69309808111706
336,1960,final,be,mc,0,,,Brussels,Monaco,822.1292949510737
337,1960,final,be,no,1,,,Brussels,Oslo,1088.5020655847604
338,1960,final,be,de,2,,,Brussels,Berlin,654.1588402686469
339,1960,final,be,be,0,,,Brussels,Brussels,0.0
340,1960,final,be,at,1,,,Brussels,Vienna,917.8641762519657
341,1960,final,be,ch,0,,,Brussels,Bern,492.811168264156
342,1960,final,be,it,1,,,Brussels,Rome,1172.6152169771856
343,1960,final,be,se,0,,,Brussels,Stockholm,1283.8231729041247
344,1960,final,be,dk,0,,,Brussels,København,768.7293452682493
345,1960,final,be,nl,1,,,Brussels,Amsterdam,173.5729934310053
346,1960,final,be,lu,0,,,Brussels,Luxembourg,187.14009930225865
347,1960,final,dk,fr,4,,,København,Paris,1028.2593187791992
348,1960,final,dk,gb,0,,,København,London,957.8249123802724
349,1960,final,dk,mc,2,,,København,Monaco,1377.3194958573663
350,1960,final,dk,no,2,,,København,Oslo,483.6172596743475
351,1960,final,dk,de,0,,,København,Berlin,355.6111228302461
352,1960,final,dk,be,0,,,København,Brussels,768.7293452682493
353,1960,final,dk,at,2,,,København,Vienna,871.9691649208438
354,1960,final,dk,ch,0,,,København,Bern,1036.7440357106227
355,1960,final,dk,it,0,,,København,Rome,1531.41171527301
356,1960,final,dk,se,0,,,København,Stockholm,521.8561875671421
357,1960,final,dk,dk,0,,,København,København,0.0
358,1960,final,dk,nl,0,,,København,Amsterdam,622.7972574644137
359,1960,final,dk,lu,0,,,København,Luxembourg,802.6126363729492
360,1960,final,fr,fr,0,,,Paris,Paris,0.0
361,1960,final,fr,gb,0,,,Paris,London,343.34816760322576
362,1960,final,fr,mc,3,,,Paris,Monaco,689.6391784074304
363,1960,final,fr,no,1,,,Paris,Oslo,1343.8991194958567
364,1960,final,fr,de,4,,,Paris,Berlin,879.1173202399925
365,1960,final,fr,be,0,,,Paris,Brussels,261.801328672752
366,1960,final,fr,at,0,,,Paris,Vienna,1036.0407521679517
367,1960,final,fr,ch,0,,,Paris,Bern,439.4187580348944
368,1960,final,fr,it,0,,,Paris,Rome,1106.6514654769796
369,1960,final,fr,se,2,,,Paris,Stockholm,1545.1179668444095
370,1960,final,fr,dk,0,,,Paris,København,1028.2593187791992
371,1960,final,fr,nl,0,,,Paris,Amsterdam,428.811084580661
372,1960,final,fr,lu,0,,,Paris,Luxembourg,287.3413976495997
